City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Boda,CF,2021-12-12 23:53:44,4.3189,17.4695,77.04,40,91,2.04
173,Saskylakh,RU,2021-12-12 23:53:45,71.9167,114.0833,-44.7,100,71,3.49
174,Quelimane,MZ,2021-12-12 23:53:45,-17.8786,36.8883,82.35,78,0,10.0
175,Rabat,MA,2021-12-12 23:53:45,33.9911,-6.8401,51.21,100,0,0.0
176,Thompson,CA,2021-12-12 23:50:41,55.7435,-97.8558,3.36,85,90,0.0
177,Itacoatiara,BR,2021-12-12 23:53:46,-3.1431,-58.4442,76.03,95,91,2.19
178,Tabou,CI,2021-12-12 23:53:46,4.423,-7.3528,79.9,84,10,7.02
179,Esperance,AU,2021-12-12 23:53:47,-33.8667,121.9,60.64,50,69,4.14
180,Iqaluit,CA,2021-12-12 23:53:48,63.7506,-68.5145,6.53,65,75,8.01
181,Charters Towers,AU,2021-12-12 23:54:48,-20.1,146.2667,86.38,43,29,12.59
182,Upernavik,GL,2021-12-12 23:54:48,72.7868,-56.1549,6.13,92,100,11.07
183,Luderitz,NA,2021-12-12 23:54:49,-26.6481,15.1594,61.38,81,7,11.32
184,Abu Samrah,SY,2021-12-12 23:54:49,35.3029,37.1841,55.38,48,96,7.14
185,Airai,TL,2021-12-12 23:54:49,-8.9266,125.4092,70.45,69,98,0.6
186,Mildura,AU,2021-12-12 23:54:50,-34.2,142.15,90.07,18,41,12.66
187,Hofn,IS,2021-12-12 23:54:50,64.2539,-15.2082,38.52,92,100,0.34
188,Petershagen,DE,2021-12-12 23:54:50,52.3833,8.9667,49.87,95,75,8.05
189,Touros,BR,2021-12-12 23:54:51,-5.1989,-35.4608,83.3,77,8,15.52
190,Nikolskoye,RU,2021-12-12 23:54:51,59.7035,30.7861,24.4,99,100,2.44
191,Acarau,BR,2021-12-12 23:54:51,-2.8856,-40.12,80.67,80,47,17.07
