City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
258,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
269,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
271,Soyo,AO,78.71,overcast clouds,-6.1349,12.3689,Hotel Mpampa
278,El Alto,PE,76.66,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
282,Sao Joao Da Barra,BR,82.49,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
283,Santa Isabel Do Rio Negro,BR,79.43,overcast clouds,-0.4139,-65.0192,Hotel GSA
289,Saint Pete Beach,US,84.34,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
291,Labuhan,ID,78.12,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
295,Mapiri,BO,82.42,overcast clouds,-15.25,-68.1667,
297,Winneba,GH,82.87,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
302,Rio Do Sul,BR,76.91,broken clouds,-27.2142,-49.6431,Hotel | Restaurante Aliança Express
308,Pocosol,CR,81.5,overcast clouds,10.3667,-84.6167,Heliconias Nature Lodge
309,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
311,Ilhabela,BR,76.06,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
313,Kieta,PG,82.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
314,Constancia,MX,86.22,clear sky,24.2231,-107.1869,Mi casa
317,Dingle,PH,75.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
325,Diego De Almagro,CL,75.42,clear sky,-26.3667,-70.05,hotel luna del desierto
326,Hobyo,SO,78.42,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
327,Lazaro Cardenas,MX,84.24,clear sky,17.9583,-102.2,quinta antigua
329,Acapulco,MX,85.1,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
330,Galle,LK,76.24,overcast clouds,6.0367,80.217,Amangalla
331,Karaton,ID,77.16,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
333,Itarema,BR,81.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
341,Mogadishu,SO,79.97,few clouds,2.0371,45.3438,Hotel Juba
342,Pouebo,NC,79.14,very heavy rain,-20.4,164.5667,RIVÂT LODGE
343,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
345,Kalmunai,LK,76.91,moderate rain,7.4167,81.8167,VS Villa
346,Novo Aripuana,BR,79.41,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
349,Katobu,ID,75.78,scattered clouds,-4.9408,122.5276,La Ode Husein
351,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
356,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
363,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
364,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
365,Sechura,PE,75.33,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
366,Meulaboh,ID,76.03,broken clouds,4.1363,96.1285,Kost Pria
