City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Ponta Do Sol,PT,32.6667,-17.1,66.0,82,85,4.79,overcast clouds
110,Vaini,TO,-21.2,-175.2,80.76,83,20,10.36,few clouds
111,San Pedro De Cajas,PE,-11.2511,-75.8617,45.18,86,99,5.23,overcast clouds
112,Taonan,CN,45.3333,122.7833,5.4,94,5,3.6,clear sky
113,Kavieng,PG,-2.5744,150.7967,82.85,78,33,5.48,scattered clouds
114,East London,ZA,-33.0153,27.9116,70.57,83,99,10.87,overcast clouds
115,Fortuna,US,40.5982,-124.1573,46.92,95,40,5.99,scattered clouds
116,Kodiak,US,57.79,-152.4072,11.71,79,1,5.75,clear sky
117,Oksfjord,NO,70.2396,22.3479,34.72,91,16,9.28,few clouds
118,Puerto Leguizamo,CO,-0.1934,-74.7819,92.32,44,67,4.14,broken clouds
119,Kaitangata,NZ,-46.2817,169.8464,59.94,67,92,6.13,overcast clouds
120,Adrar,MR,20.5022,-10.0711,70.16,15,100,10.74,overcast clouds
121,Husavik,IS,66.0449,-17.3389,26.51,80,3,11.95,clear sky
122,Talnakh,RU,69.4865,88.3972,-25.22,89,80,8.59,broken clouds
123,Penjamo,MX,20.4333,-101.7333,77.67,23,6,5.1,clear sky
124,Nikolskoye,RU,59.7035,30.7861,33.69,93,94,7.23,overcast clouds
125,Maun,BW,-19.9833,23.4167,76.96,65,0,3.44,clear sky
126,Yuzhnyy,RU,53.2542,83.6936,3.58,85,75,8.95,light snow
127,Maturin,VE,9.75,-63.1767,77.47,88,94,8.88,overcast clouds
128,Hernani,ES,43.2662,-1.9762,48.7,91,0,1.01,clear sky
129,Dikson,RU,73.5069,80.5464,-3.55,92,100,24.96,overcast clouds
130,Parauna,BR,-16.9478,-50.4486,73.99,88,100,9.04,overcast clouds
131,Victoria,HK,22.2855,114.1577,67.32,81,94,1.99,overcast clouds
132,Port Elizabeth,ZA,-33.918,25.5701,65.1,94,75,13.8,light rain
133,Salinas,US,36.6777,-121.6555,57.52,77,90,23.02,mist
134,Bandarbeyla,SO,9.4942,50.8122,76.53,69,3,21.05,clear sky
135,Srednekolymsk,RU,67.45,153.6833,-19.71,96,100,4.27,overcast clouds
136,Acari,PE,-15.4311,-74.6158,73.94,76,72,9.24,broken clouds
137,Saskylakh,RU,71.9167,114.0833,-15.23,97,100,9.22,overcast clouds
138,Miri,MY,4.4148,114.0089,73.54,100,40,3.44,scattered clouds
139,Gladstone,AU,-23.85,151.25,77.79,73,16,5.75,few clouds
140,Placido De Castro,BR,-10.3353,-67.1856,80.01,96,91,3.47,overcast clouds
141,Elati,GR,39.9801,21.8219,36.43,84,85,3.65,overcast clouds
142,Avarua,CK,-21.2078,-159.775,78.85,83,75,17.27,moderate rain
143,Chara,RU,56.9064,118.2631,-14.26,96,100,0.67,overcast clouds
144,San Quintin,MX,30.4833,-115.95,61.52,66,100,6.67,overcast clouds
145,Lorengau,PG,-2.0226,147.2712,82.26,83,100,7.23,overcast clouds
146,Wagar,SD,16.1525,36.2032,78.71,24,6,5.06,clear sky
147,Waipawa,NZ,-41.4122,175.5153,57.45,98,100,4.32,light rain
148,Yerbogachen,RU,61.2767,108.0108,-45.44,100,54,2.04,broken clouds
149,Bandar-E Lengeh,IR,26.5579,54.8807,72.09,40,78,11.45,broken clouds
150,Samarai,PG,-10.6167,150.6667,83.17,76,82,9.44,broken clouds
151,Hasaki,JP,35.7333,140.8333,30.6,38,23,4.63,few clouds
152,Katsuura,JP,35.1333,140.3,45.19,54,23,4.63,few clouds
153,Constitucion,CL,-35.3333,-72.4167,61.18,62,90,18.01,overcast clouds
154,Termiz,UZ,37.2242,67.2783,41.09,70,75,13.8,broken clouds
155,Balkhash,KZ,46.844,74.9804,19.85,78,18,5.79,few clouds
156,Grand Gaube,MU,-20.0064,57.6608,75.6,78,7,4.0,clear sky
157,Tupik,RU,54.4253,119.9327,-14.93,99,92,2.82,overcast clouds
158,Vallenar,CL,-28.5708,-70.7581,78.67,26,0,11.59,clear sky
159,Cabo San Lucas,MX,22.8909,-109.9124,83.52,65,23,1.01,few clouds
160,Mar Del Plata,AR,-38.0023,-57.5575,68.02,80,0,11.99,clear sky
161,Camabatela,AO,-8.1881,15.375,64.08,97,100,2.06,overcast clouds
162,Latung,PH,5.5,120.8833,82.17,79,81,6.15,broken clouds
163,Abong Mbang,CM,3.9833,13.1833,72.37,51,11,2.42,few clouds
164,Noumea,NC,-22.2763,166.4572,81.0,99,100,8.14,light rain
165,Fairlie,GB,55.756,-4.8556,43.02,86,95,8.57,overcast clouds
166,Markala,ML,13.7021,-6.0659,83.12,16,88,9.17,overcast clouds
167,Biltine,TD,14.5333,20.9167,77.85,18,100,7.38,overcast clouds
168,Vanimo,PG,-2.6741,141.3028,78.53,89,100,2.51,overcast clouds
169,Dunedin,NZ,-45.8742,170.5036,58.8,75,90,3.0,overcast clouds
170,Yellowknife,CA,62.456,-114.3525,-3.48,84,75,3.44,light snow
171,Caravelas,BR,-17.7125,-39.2481,77.29,84,100,8.5,moderate rain
172,Avera,US,33.194,-82.5271,64.44,38,0,2.8,clear sky
173,Lahaina,US,20.8783,-156.6825,79.84,83,53,10.47,broken clouds
174,Belaya Gora,RU,68.5333,146.4167,-24.95,96,100,1.9,overcast clouds
175,Shimoda,JP,34.6667,138.95,51.94,67,100,9.01,overcast clouds
176,Pemba,MZ,-12.974,40.5178,81.3,74,20,11.99,few clouds
177,Hendrina,ZA,-26.1588,29.7153,53.28,96,100,3.87,overcast clouds
178,Buala,SB,-8.145,159.5921,82.58,82,98,9.46,moderate rain
179,Iki-Burul,RU,45.8208,44.6472,30.54,89,54,19.35,broken clouds
180,Leirvik,NO,59.7798,5.5005,46.51,87,66,10.94,broken clouds
181,Luderitz,NA,-26.6481,15.1594,63.37,81,0,19.75,clear sky
182,Tiarei,PF,-17.5333,-149.3333,86.02,75,91,10.65,light rain
183,Storm Lake,US,42.6411,-95.2097,40.69,81,1,9.22,clear sky
